address,name,chainId
0x5971A1b65f2bB666a2ebE697c342b7eFD6f7FE6C,ProtocolV3Ethereum ASSETS WETH INTEREST_RATE_STRATEGY,1
0x5f4eC3Df9cbd43714FE2740f5E3616155c5b8419,ProtocolV3Ethereum ASSETS WETH ORACLE,1
0x252231882FB38481497f3C767469106297c8d93b,ProtocolV3Ethereum ASSETS WETH STATIC_A_TOKEN,1
0xdAC17F958D2ee523a2206206994597C13D831ec7,ProtocolV3Ethereum ASSETS USDT UNDERLYING,1
0x29F39eC40595733987d1F31D87d56Af2167e199A,ProtocolV3Ethereum ASSETS USDT A_TOKEN,1
0xC10A803568b78774Ce848DFB865BFebbEd7FD177,ProtocolV3Ethereum ASSETS USDT V_TOKEN,1
0x4F67001f5AC4e83373C68F80111BD266f66eB027,ProtocolV3Ethereum ASSETS USDT INTEREST_RATE_STRATEGY,1
0x3E7d1eAB13ad0104d2750B8863b489D65364e32D,ProtocolV3Ethereum ASSETS USDT ORACLE,1
0x862c57d48becB45583AEbA3f489696D22466Ca1b,ProtocolV3Ethereum ASSETS USDT STATIC_A_TOKEN,1
0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,ProtocolV3Ethereum ASSETS AAVE UNDERLYING,1
0x0e4dD12D36dBc5A251057AdB7bBC3a6C44d36a3a,ProtocolV3Ethereum ASSETS AAVE A_TOKEN,1
0x4450FC0eB292CaD008Cb7CBC7d3d2dfC5ACEFf99,ProtocolV3Ethereum ASSETS AAVE V_TOKEN,1
0x5971A1b65f2bB666a2ebE697c342b7eFD6f7FE6C,ProtocolV3Ethereum ASSETS AAVE INTEREST_RATE_STRATEGY,1
0x547a514d5e3769680Ce22B2361c10Ea13619e8a9,ProtocolV3Ethereum ASSETS AAVE ORACLE,1
0xFEB859A50f92C6D5ad7C9eF7C2c060D164B3280f,ProtocolV3Ethereum ASSETS AAVE STATIC_A_TOKEN,1
0x15700B564Ca08D9439C58cA5053166E8317aa138,ProtocolV3Ethereum ASSETS deUSD UNDERLYING,1
0x261D7d18e19a874e41109606D12dbB73Fc4fa925,ProtocolV3Ethereum ASSETS deUSD A_TOKEN,1
0x2253132e49fB753A77b5C08989ae82d8aF3e99B6,ProtocolV3Ethereum ASSETS deUSD V_TOKEN,1
0x4F67001f5AC4e83373C68F80111BD266f66eB027,ProtocolV3Ethereum ASSETS deUSD INTEREST_RATE_STRATEGY,1
0xb00fFcf3180505217D1747e88704D197b2E09414,ProtocolV3Ethereum ASSETS deUSD ORACLE,1
0xCE722f60F35C37aB295adc4E6bA45bCC7ca89Dd6,ProtocolV3Ethereum ASSETS JPGD UNDERLYING,1
0x2Ee373c45f06ecD2f69D78b866A9e6FDE1076e2B,ProtocolV3Ethereum ASSETS JPGD A_TOKEN,1
0x23718289534B3515853F6C5B9af3402d7B0Ffb58,ProtocolV3Ethereum ASSETS JPGD V_TOKEN,1
0x5F64941e9C7433AA778D057Ad3aB01102709dA9F,ProtocolV3Ethereum ASSETS JPGD INTEREST_RATE_STRATEGY,1
0x5f4eC3Df9cbd43714FE2740f5E3616155c5b8419,ProtocolV3Ethereum ASSETS JPGD ORACLE,1
0x82dcCF206Ae2Ab46E2099e663F70DeE77caE7778,ProtocolV3Ethereum CAPS_PLUS_RISK_STEWARD,1
0x5577B156C3ad7beC2A11BBe29009B330ac5C9bF5,ProtocolV3Ethereum COLLECTOR,1
